planner,num_agents,num_robots,f,d,active_time,planner_time,damage,num_disabled
StaticLinePlanner,100,10,1.2,5,129.2282639137302,0.0072247982025146484,22123.763365753664,19
StaticLinePlanner,100,10,1.2,5,160.02471577718828,0.006780862808227539,21702.120075573308,26
StaticLinePlanner,100,10,1.2,5,166.3012169720639,0.0066738128662109375,22243.228991573815,22
StaticLinePlanner,100,10,1.2,5,153.30435135555746,0.006597042083740234,22041.438777020623,23
StaticLinePlanner,100,10,1.2,5,145.70812425725921,0.006826162338256836,21335.87559149419,30
StaticLinePlanner,100,10,1.2,5,108.39750434380873,0.006561994552612305,21481.126879085954,20
StaticLinePlanner,100,10,1.2,5,102.87479847849318,0.006432056427001953,20868.542535951874,25
StaticLinePlanner,100,10,1.2,5,183.27789062642807,0.0063190460205078125,22402.02178817201,28
StaticLinePlanner,100,10,1.2,5,144.5939153448745,0.006365060806274414,21390.44006136546,27
StaticLinePlanner,100,10,1.2,5,115.76353313159966,0.006273031234741211,22409.592732689165,16
StaticLinePlanner,100,10,1.2,5,120.6465352994628,0.00625920295715332,22129.51788378203,19
StaticLinePlanner,100,10,1.2,5,131.59889242039552,0.0062029361724853516,21234.08063544067,26
StaticLinePlanner,100,10,1.2,5,156.59423728551715,0.00626683235168457,21782.446051196675,27
StaticLinePlanner,100,10,1.2,5,143.19994510592875,0.006736040115356445,21699.541603745078,25
StaticLinePlanner,100,10,1.2,5,151.29681748633257,0.0070648193359375,21590.36012127325,26
StaticLinePlanner,100,10,1.2,5,159.4764682515175,0.006345033645629883,21644.831468351367,28
StaticLinePlanner,100,10,1.2,5,137.2197011485211,0.006590843200683594,20197.783274493384,37
StaticLinePlanner,100,10,1.2,5,136.95516507784714,0.006273031234741211,21936.126860141787,21
StaticLinePlanner,100,10,1.2,5,152.49061399714864,0.00628209114074707,21658.225346363957,28
StaticLinePlanner,100,10,1.2,5,146.47326241458796,0.006843090057373047,21594.126717354255,25
StaticLinePlanner,100,10,1.3,5,163.99375865706446,0.006765842437744141,20772.39053731913,44
StaticLinePlanner,100,10,1.3,5,112.34139428900137,0.00676417350769043,20716.202188862815,27
StaticLinePlanner,100,10,1.3,5,125.30689853054606,0.006830930709838867,20130.289740500077,34
StaticLinePlanner,100,10,1.3,5,110.90253001896501,0.006659269332885742,20469.174121944234,29
StaticLinePlanner,100,10,1.3,5,101.14339017152068,0.006605863571166992,19609.31400567621,33
StaticLinePlanner,100,10,1.3,5,143.7592689686494,0.006494045257568359,21032.92067760059,25
StaticLinePlanner,100,10,1.3,5,133.65121995763997,0.00665283203125,20659.296135390126,31
StaticLinePlanner,100,10,1.3,5,113.51856769231722,0.006562232971191406,19699.26662019007,35
StaticLinePlanner,100,10,1.3,5,141.80221221049206,0.006642818450927734,20909.108988805765,31
StaticLinePlanner,100,10,1.3,5,108.56509827300533,0.006573915481567383,19731.655471744034,33
StaticLinePlanner,100,10,1.3,5,119.5092673552584,0.006592988967895508,21051.9676181289,26
StaticLinePlanner,100,10,1.3,5,115.02169521261422,0.006778240203857422,20283.038045984053,28
StaticLinePlanner,100,10,1.3,5,160.79437798106432,0.006847858428955078,20821.984750666517,39
StaticLinePlanner,100,10,1.3,5,124.95160995983957,0.006742000579833984,20381.538099886962,31
